example_id                                                        | status | run_time        |
----------------------------------------------------------------- | ------ | --------------- |
./spec/generators/panda/core/install_generator_spec.rb[1:1:1:1]   | passed | 0.00233 seconds |
./spec/generators/panda/core/install_generator_spec.rb[1:1:2:1]   | passed | 0.00341 seconds |
./spec/generators/panda/core/install_generator_spec.rb[1:1:3:1:1] | passed | 0.00265 seconds |
./spec/generators/panda/core/install_generator_spec.rb[1:1:3:2:1] | passed | 0.0027 seconds  |
./spec/generators/panda/core/install_generator_spec.rb[1:1:3:3:1] | passed | 0.00207 seconds |
./spec/generators/panda/core/templates_generator_spec.rb[1:1]     | passed | 0.0034 seconds  |
./spec/generators/panda/core/templates_generator_spec.rb[1:2]     | passed | 0.00565 seconds |
./spec/generators/panda/core/templates_generator_spec.rb[1:3]     | passed | 0.00743 seconds |
./spec/lib/panda/core/configuration_spec.rb[1:1:1]                | passed | 0.0007 seconds  |
./spec/lib/panda/core/configuration_spec.rb[1:1:2]                | passed | 0.22947 seconds |
